,sentence
0,Umubyeyi arasobanura icyo gihe ubwo yajugunyaga umwana we avuye mu nyubako
1,"Umugore wajugunyiye abantu atazi umwana we ari mu nzu yuzuye umwotsi yo mu mujyi ukora ku nyanja wa Durban muri Afurika y'epfo, yabwiye BBC ukuntu ashimira abarokoye umwana we w'umukobwa, uzuzuza imyaka ibiri mu kwezi gutaha."
2,"Naledi Manyoni, w'imyaka 26, yagize ati: ""Icyo nashoboraga gukora cyonyine kwari ukwizera abantu ntazi na busa"". Yongeyeho ko ubu we n'umwana we bameze neza."
3,Inyubako bari barimo yakongejwe n'abasahuraga.
4,Imidugararo yatewe n'ifungwa rya Jacob Zuma wahoze ari Perezida w'iki gihugu.
5,"Uwo mugabo w'imyaka 79, mu kwezi gushize yahamijwe gusuzugura ubucamanza, nyuma yuko yanze kwitabira iperereza kuri ruswa yo mu gihe cy'ubutegetsi bwe."
6,Nijoro ku wa gatatu w'icyumweru gishize ni bwo yishyikirije polisi atangira igifungo yakatiwe cy'amezi 15.
7,"Ariko ibi byateje imyigaragambyo irimo urugomo, ibitero byo gutwika, ndetse n'abafatiranye iki gihe bagasahura mu ntara avukamo ya KwaZulu-Natal, binagera no mu yindi mijyi minini imwe n'imito."
8,"Abantu batari munsi ya 72 bamaze gupfira mu cyo Perezida Cyril Ramaphosa yavuze ko ari rumwe mu rugomo rubi cyane rubayeho muri iki gihugu kuva mu myaka ya 1990, mbere yuko harangira ubutegetsi bw'ivanguramoko bwa ba nyamucye b'abazungu buzwi nka apartheid."
9,"Leta ivuga ko igiye kugaba abasirikare 25,000 bo guhagarika urwo rugomo."
10,"Umunyamakuru wa BBC ufata amashusho Thuthuka Zondi yafotoye Madamu Manyoni ajugunya umwana we Melokuhle, ubwo bari hejuru mu nyubako yo ku muhanda uri rwagati mu mujyi wa Durban ku wa kabiri nyuma ya saa sita z'amanywa, iyo nyubako yamaze kugerwamo n'abasahuzi."
11,"Abasahuraga mu maduka yo mu gice cyo hasi cy'iyo nyubako, bari batangiye gutwika n'igice cyayo cy'aho Madamu Manyoni yari amaze igihe asura umukunzi we."
12,Bari bari mu igofora rya 16 ry'iyo nyubako ubwo babonaga umwotsi urimo kuzamuka.
13,"Icyuma kimanura kikanazamura abantu mu nyubako y'amagorofa, kizwi nka 'lift' cyangwa 'ascenseur', ntabwo cyarimo gukora kubera umuriro."
14,Rero Madamu Manyoni yirutse afite ubwoba bwinshi amanuka ku madarage ahagatiye umwana we.
15,Ariko ntiyashoboye kugera ku gice cyo hasi cy'iyo nyubako kuko cyari cyafunzwe.
16,"Avuga ko yashoboye kwihata akagera ahari ibaraza ku igorofa ya kabiri, aho yasabiye ubufasha abahisi n'abagenzi (abatambukaga hafi aho)."
17,"Yagize ati: ""Ikintu natekerezaga gusa kwari ugutuma umwana wanjye abaho""."
18,Naledi Manyoni n'umwana we w'umukobwa witwa Melokuhle
19,"Abazimya umuriro bahageze hashize hafi iminota 20, nyuma yuko imbaga y'abantu yari yatangiye gutabara abandi bari muri iyo nyubako, ikoresheje inzego, ari na bwo Madamu Manyoni yongeye gusubirana n'umukobwa we."
20,Yabwiye BBC ko hafi saa sita za nijoro bashoboye gusubira mu cyumba cyabo cyo muri iyo nyubako.
21,"Iyi midugararo imaze iminsi yatumye i Durban habaho ikibazo cy'ibura ry'umugati n'ibitoro, aho imirongo miremire y'abashakisha n'umugati mucyeya usigaye yabonetse hanze y'amaduka, ndetse n'imirongo miremire y'imodoka kuri za stasiyo."
22,"Ku wa kabiri, ikigo cya mbere kinini gitunganya ibitoro muri Afurika y'epfo cyavuze ko kibaye gihagaritse ibikorwa, kivuga ko bitewe n'imidugararo mu gihugu n'ingorane mu mihanda yatumaga gikwirakwiza ibitoro iva n'ijya muri KwaZulu-Natal."
23,"Ahavuye isanamu, Getty Images"
24,"Gusahura amaduka n'inyubako zihunikwamo ibicuruzwa, byatumye ibiribwa bimwe na bimwe biba bicyeya"
25,"Hagati aho, umukuru w'umuryango munini w'abahinzi bo muri Afurika y'epfo, umuryango uzwi nka AgriSA, yavuze ko abahinzi barimo kugorwa no kugeza umusaruro wabo ku isoko kubera ""akajagari"" kabayeho mu mikorere."
26,"Christo van der Rheede, umukuru wa AgriSA, yabwiye ibiro ntaramakuru AFP ati:"
27,"""Ducyeneye ko hasubiraho iyubahirizwa ry'amategeko n'umutekano mu gihe cya vuba gishoboka, kubera ko turi bugire amakuba akomeye""."
28,"Mu ijambo rye rya mbere avuze kuri uru rugomo, Umwami w'Aba-Zulu Misuzulu kaZwelithini yamaganye ubusahuzi, avuga ko bugaragaza isura mbi ku baturage, kandi ko ibisenywa bigira ingaruka ku bacyene gusa."
29,"Yagize ati: ""Nta na rimwe nari narigeze ntekereza ko abantu ba data bagira uruhare mu gutwika igihugu cyabo bwite""."
30,"Umwami Misuzulu, wimye ingoma mu ntangiriro y'uyu mwaka nyuma yuko ababyeyi be bapfuye, yongeyeho ati:"
31,"""Kumenya ko ibi byose birimo kuba mu gihe cy'icyorezo, aho ubwoko bw'iyi virusi bubi cyane bugeze ku kigero cyo hejuru cyane, bigeza gusa kuri uyu mwanzuro: abantu ba data barimo kwiyahura""."
